City_ID,name,country,max_temp,current_description,lat,lng,Hotel Name
5,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
9,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
19,rikitea,pf,77.56,broken clouds,-23.1203,-134.9692,Pension Maro'i
22,soure,br,78.42,broken clouds,-0.7167,-48.5233,Casarão
23,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
48,tucuman,ar,78.8,light rain,-26.8241,-65.2226,Dallas Hotel Tucuman
53,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
58,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
59,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
62,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
77,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
81,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
82,hobyo,so,77.45,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
92,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
97,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
126,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
128,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
131,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
134,lima,pe,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
137,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
145,cagayan de oro,ph,78.01,overcast clouds,8.4822,124.6472,Pryce Plaza Hotel
158,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
165,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
172,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
176,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
179,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
192,cayenne,gf,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
199,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
214,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
235,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
237,ikwiriri,tz,76.24,overcast clouds,-7.9562,38.9716,Greenland lodge
242,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
252,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
263,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
277,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
279,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
280,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
286,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
287,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
291,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
293,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
295,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
298,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
301,tutoia,br,78.55,few clouds,-2.7619,-42.2744,Pousada Guará's
311,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
319,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
330,victoria,sc,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
370,sao jose da coroa grande,br,77.38,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
372,tura,ru,75.09,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
381,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
400,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
403,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
405,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
428,kahului,us,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
434,trairi,br,78.67,clear sky,-3.2778,-39.2689,janelas do mar
448,barreirinhas,br,76.44,clear sky,-2.7469,-42.8264,Gran Lençóis Flat Residence
451,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
464,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
465,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
470,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
474,harper,lr,79.3,scattered clouds,4.375,-7.7169,Screensaver
482,caravelas,br,75.94,light rain,-17.7125,-39.2481,Pousada dos Navegantes
483,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
486,bathsheba,bb,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
489,kahului,us,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
492,nieuw nickerie,sr,76.77,broken clouds,5.95,-56.9833,Ishwardat Inn
495,dingle,ie,75.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
496,alenquer,br,77.0,scattered clouds,-1.9417,-54.7383,Josilene Castro
500,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
510,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
