name,lat,lng,max_temp,percent_humidity,percent_cloudiness,wind_speed,current_description
muros,42.7762,-9.0603,284.26,81,21,2.24,few clouds
rockport,28.0206,-97.0544,291.48,77,1,3.6,clear sky
torbay,47.6666,-52.7314,272.04,69,20,14.4,few clouds
palamos,41.8484,3.1291,281.48,93,100,3.21,overcast clouds
saint-augustin,51.226,-58.6502,264.59,92,2,4.56,clear sky
bredasdorp,-34.5322,20.0403,287.15,82,15,2.57,few clouds
ribeira grande,38.5167,-28.7,288.13,80,24,7.69,few clouds
hue,16.4667,107.6,297.15,83,40,1.03,scattered clouds
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
castro,-24.7911,-50.0119,286.7,69,0,3.11,clear sky
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
mataura,-46.1927,168.8643,298.03,33,98,1.4,moderate rain
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
fortuna,40.5982,-124.1573,282.04,93,1,2.57,clear sky
tura,25.5198,90.2201,290.62,40,0,1.13,clear sky
punta arenas,-53.15,-70.9167,290.15,42,75,3.6,broken clouds
dikson,73.5069,80.5464,237.5,85,90,7.66,overcast clouds
la ronge,55.1001,-105.2842,238.15,61,1,2.06,clear sky
nanortalik,60.1432,-45.2371,272.98,87,91,8.41,overcast clouds
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
coahuayana,18.7333,-103.6833,294.15,83,1,0.43,clear sky
lithakia,37.7167,20.8333,290.15,51,75,5.14,broken clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
norman wells,65.282,-126.8329,238.15,75,20,2.57,few clouds
tual,-5.6667,132.75,302.0,78,84,8.4,broken clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
gaziantep,37.0594,37.3825,277.15,100,23,2.06,mist
butaritari,3.0707,172.7902,300.36,79,27,7.68,scattered clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
artyom,40.4723,50.333,277.15,93,90,5.14,overcast clouds
dikson,73.5069,80.5464,237.5,85,90,7.66,overcast clouds
acapulco,16.8634,-99.8901,300.15,78,20,4.12,few clouds
cockburn town,21.4612,-71.1419,298.15,83,20,5.14,few clouds
hasaki,35.7333,140.8333,280.93,42,75,4.63,broken clouds
laguna,38.421,-121.4238,287.59,54,1,1.54,clear sky
punta arenas,-53.15,-70.9167,290.15,42,75,3.6,broken clouds
kenitra,34.261,-6.5802,283.15,93,28,4.63,scattered clouds
praia,14.9215,-23.5087,293.15,64,75,9.26,broken clouds
pisco,-13.7,-76.2167,296.15,78,75,2.57,broken clouds
fountain hills,33.6117,-111.7174,293.15,19,1,1.54,clear sky
barcelos,41.5388,-8.6151,285.15,87,20,3.6,few clouds
sioux falls,43.55,-96.7003,255.15,71,90,2.57,light snow
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
tiznit,29.5833,-9.5,283.44,85,79,1.42,broken clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
cidreira,-30.1811,-50.2056,294.46,73,0,3.3,clear sky
butaritari,3.0707,172.7902,300.36,79,27,7.68,scattered clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
bougouni,11.417,-7.479,295.99,21,20,3.71,few clouds
georgetown,5.4112,100.3354,301.15,78,20,1.03,few clouds
okato,-39.2,173.8833,294.82,64,72,4.92,broken clouds
qaanaaq,77.484,-69.3632,264.87,85,100,3.0,overcast clouds
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
mahebourg,-20.4081,57.7,299.15,83,40,2.57,scattered clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
nanortalik,60.1432,-45.2371,272.98,87,91,8.41,overcast clouds
mataura,-46.1927,168.8643,298.03,33,98,1.4,moderate rain
atuona,-9.8,-139.0333,299.67,74,8,9.2,clear sky
nikolskoye,59.7035,30.7861,264.15,86,75,3.0,broken clouds
castro,-24.7911,-50.0119,286.7,69,0,3.11,clear sky
punta arenas,-53.15,-70.9167,290.15,42,75,3.6,broken clouds
tuatapere,-46.1333,167.6833,293.52,58,100,1.9,moderate rain
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
tuktoyaktuk,69.4541,-133.0374,240.15,68,40,4.12,snow
atuona,-9.8,-139.0333,299.67,74,8,9.2,clear sky
borogontsy,62.6683,131.1683,240.46,83,22,1.25,few clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
mtimbira,-8.7833,36.35,295.97,93,100,0.59,overcast clouds
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
ribeira grande,38.5167,-28.7,288.13,80,24,7.69,few clouds
namatanai,-3.6667,152.4333,302.42,73,33,2.67,light rain
te anau,-45.4167,167.7167,293.04,57,100,2.68,heavy intensity rain
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
ancud,-41.8697,-73.8203,290.37,72,0,2.06,clear sky
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
khatanga,71.9667,102.5,240.62,80,34,5.64,scattered clouds
ugoofaaru,5.6667,73.0,300.45,73,27,5.33,scattered clouds
tuktoyaktuk,69.4541,-133.0374,240.15,68,40,4.12,snow
sibolga,1.7427,98.7792,301.26,64,100,0.73,overcast clouds
nouadhibou,20.931,-17.0347,290.15,77,0,8.75,clear sky
kahului,20.8947,-156.47,299.15,50,1,6.17,clear sky
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
alegrete,-29.7831,-55.7919,294.52,59,0,3.17,clear sky
punta arenas,-53.15,-70.9167,290.15,42,75,3.6,broken clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
puerto ayora,-0.7393,-90.3518,298.15,95,100,2.78,light rain
rocha,-34.4833,-54.3333,290.64,88,52,2.12,broken clouds
saskylakh,71.9167,114.0833,235.09,80,43,5.26,scattered clouds
saint-gilles,43.6766,4.4302,280.15,87,0,2.06,clear sky
cherskiy,68.75,161.3,259.14,75,0,2.16,clear sky
hami,42.8,93.45,273.31,75,35,1.18,scattered clouds
chokurdakh,70.6333,147.9167,247.58,89,100,3.17,overcast clouds
laguna,38.421,-121.4238,287.59,54,1,1.54,clear sky
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
victoria,22.2855,114.1577,294.82,80,14,0.89,few clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
angarsk,52.5367,103.8864,258.15,78,0,2.0,clear sky
ust-omchug,61.15,149.6333,255.02,88,99,6.67,overcast clouds
lensk,60.7253,114.9278,264.47,95,100,2.37,light snow
longyearbyen,78.2186,15.6401,264.15,38,0,8.75,clear sky
atar,20.5169,-13.0499,287.06,41,0,3.87,clear sky
roald,62.5833,6.1333,269.15,50,0,6.17,clear sky
jamestown,42.097,-79.2353,262.59,72,90,4.63,light snow
rapid valley,44.0625,-103.1463,254.15,71,1,2.06,clear sky
bethel,41.3712,-73.414,271.15,74,90,7.2,light snow
castle rock,39.3722,-104.8561,274.82,47,76,0.89,broken clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
lavrentiya,65.5833,-171.0,250.42,85,5,4.09,clear sky
